Vancouver,Max of Vancouver,,Vancouver
100,281.04,,100
100,281.09,,100
100,280.89,,100
10,280.89,,10
0,280.66,,0
110,280.78,,110
90,280.57,,90
110,280.53,,110
0,280.32,,0
0,280.52,,0
310,280.48,,310
270,280.53,,270
280,280.47,,280
290,280.5,,290
270,280.6,,270
22,280.8,,22
170,281.82,,170
274,281.29,,274
274,281.65,,274
270,282.15,,270
274,282.02,,274
210,280.77,,210
310,280.31,,310
0,279.57,,0
0,278.92,,0
64,280.665,,64
129,282.41,,129
129,282.41,,129
46,279.95,,46
46,279.95,,46
46,279.95,,46
46,279.95,,46
46,279.95,,46
46,279.95,,46
43,279.06,,43
43,279.06,,43
43,279.06,,43
43,279.06,,43
43,279.06,,43
43,279.06,,43
43,279.06,,43
171,281.49,,171
171,281.49,,171
171,281.49,,171
171,281.49,,171
171,281.49,,171
171,281.49,,171
171,281.49,,171
171,281.49,,171
171,281.49,,171
171,281.49,,171
171,281.49,,171
102,280.35,,102
102,280.35,,102
102,280.35,,102
102,280.35,,102
22,277.59,,22
160,278,,160
90,277.98,,90
100,278.05,,100
90,278.47,,90
100,277.88,,100
0,278.41,,0
100,278.82,,100
0,279.34,,0
120,279.88,,120
90,280.46,,90
90,280.63,,90
80,281.01,,80
75,280.82,,75
70,280.63,,70
110,280.97,,110
90,281.62,,90
80,281.21,,80
70,280.95,,70
60,281.02,,60
180,280.51,,180
80,281.63,,80
70,282,,70
90,281.99,,90
100,282.47,,100
100,282.78,,100
100,282.84,,100
90,283.5,,90
70,282.59,,70
100,282.37,,100
100,283.28,,100
130,283.14,,130
170,282.06,,170
330,281.17,,330
320,281.43,,320
0,280.83,,0
30,280.54,,30
60,280.13,,60
40,279.99,,40
100,279.79,,100
80,279.96,,80
80,279.69,,80
70,279.97,,70
80,279.99,,80
60,279.77,,60
60,280.14,,60
90,280.11,,90
180,279.73,,180
30,279.54,,30
80,279.47,,80
70,279.7,,70
90,279.92,,90
80,279.61,,80
80,279.98,,80
70,279.98,,70
80,280.25,,80
70,280.63,,70
80,280.97,,80
90,281.17,,90
70,281.11,,70
70,280.93,,70
70,280.53,,70
90,280.43,,90
100,280.33,,100
100,280.44,,100
110,280.88,,110
70,281.4,,70
70,281.66,,70
60,281.85,,60
80,282.43,,80
90,282.43,,90
80,282.2,,80
70,281.97,,70
70,282.15,,70
70,281.84,,70
70,281.55,,70
80,281.06,,80
90,281.35,,90
90,281.53,,90
70,280.6,,70
70,280.55,,70
70,280.41,,70
70,280.56,,70
80,280.8,,80
70,280.56,,70
90,280.26,,90
40,280.27,,40
320,280.41,,320
100,280.64,,100
0,280.89,,0
50,280.07,,50
40,279.79,,40
70,279.61,,70
80,279.6,,80
50,279.74,,50
80,280.11,,80
70,280.12,,70
70,280.4,,70
80,280.07,,80
70,280.01,,70
70,279.64,,70
